binary_name,project,algorithm_label,architecture,optimization_level,compiler,compiler_version,build_type,build_system,binary_type,crypto_library,aes_constant,aes_constant_count,aes_symbol,arithmetic_count,basic_block_count_estimate,binary_size,blowfish_constant_count,branch_count,call_count,call_graph_fanout_estimate,cfg_edge_count_estimate,chacha20_constant_count,chacha_symbol,compiler_hints,cyclomatic_complexity_estimate,des_symbol,ecc_curve_p_256,ecc_curve_p_384,ecc_curve_p_521,ecc_curve_secp256k1,ecc_symbol,entropy,entry_point,executable_section_ratio,export_count,function_count,import_count,import_libraries,instruction_count,instruction_entropy,jump_count,known_crypto_library,logical_count,md5_constant,md5_constant_count,memory_count,opcode_bigram_entropy,opcode_bigram_unique_ratio,opcode_trigram_entropy,opcode_trigram_unique_ratio,optimization_hints,readonly_section_ratio,return_count,rsa_exponent_present,rsa_symbol,section_count,segment_count,sha1_constant,sha1_constant_count,sha224_constant_count,sha256_constant_count,sha384_constant_count,sha512_constant_count,sha_constant,sha_symbol,string_count,symbol_count,unique_opcode_ratio,writable_section_ratio
pwhash_argon2id__clang_O2_debug.o,libsodium,Argon2,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,10.0,32.0,14936,0,31.0,11.0,0.37931,31.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.456684,0,,21,29,0,,209.0,3.756694,20.0,False,13.0,False,0,103.0,5.201845,0.322115,5.831216,0.458937,likely_debug_or_unoptimized,,21.0,False,False,23,0,False,0,0,0,0,0,False,False,155,29,0.119617,
pwhash_argon2i__clang_O3_debug.o,libsodium,Argon2,x86_64,O3,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,12.0,47.0,18712,0,46.0,17.0,0.472222,46.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.540418,0,,23,36,0,,292.0,3.743447,29.0,False,21.0,False,0,153.0,5.296724,0.274914,6.132461,0.427586,likely_debug_or_unoptimized,,22.0,False,False,23,0,False,0,0,0,0,0,False,False,199,36,0.092466,
argon2-fill-block-ssse3__clang_O0_release.o,libsodium,Argon2,x86_64,O0,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,,,688,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.186709,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2-fill-block-avx512f__clang_O1_debug.o,libsodium,Argon2,x86_64,O1,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,,,696,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.198628,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2__clang_O0_debug.o,libsodium,Argon2,x86_64,O0,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,21.0,85.0,16312,0,84.0,45.0,1.875,84.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.783731,0,,9,24,0,,529.0,2.3423,39.0,False,14.0,False,0,370.0,3.70939,0.089015,4.735496,0.170778,likely_debug_or_unoptimized,,9.0,False,False,21,0,False,0,0,0,0,0,False,False,174,24,0.035917,
argon2-core__clang_O3_release.o,libsodium,Argon2,x86_64,O3,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,40.0,111.0,7120,0,110.0,42.0,2.8,110.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.920686,0,,5,15,0,,822.0,3.628933,68.0,False,42.0,False,0,541.0,5.442844,0.158343,6.364769,0.292683,likely_release_or_stripped,,12.0,False,False,10,0,False,0,0,0,0,0,False,False,52,15,0.036496,
argon2-encoding__gcc_O2_debug.o,libsodium,Argon2,x86_64,O2,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,60.0,139.0,29248,0,138.0,26.0,2.0,138.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,4.467548,0,,2,13,0,,630.0,3.764579,112.0,False,29.0,False,0,286.0,5.978636,0.189189,7.279553,0.377389,likely_debug_or_unoptimized,,5.0,True,False,26,0,False,0,0,0,0,0,False,False,179,13,0.047619,
argon2-encoding__clang_O3_debug.o,libsodium,Argon2,x86_64,O3,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,54.0,89.0,18976,0,88.0,29.0,1.8125,88.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.813215,0,,2,16,0,,458.0,3.788851,59.0,False,24.0,False,0,230.0,6.023771,0.258206,7.113255,0.429825,likely_debug_or_unoptimized,,4.0,False,False,24,0,False,0,0,0,0,0,False,False,184,16,0.067686,
argon2-fill-block-ref__clang_O2_debug.o,libsodium,Argon2,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,462.0,57.0,44408,0,56.0,13.0,2.6,56.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,5.279392,0,,1,5,0,,1759.0,3.540349,43.0,False,444.0,False,0,736.0,5.482864,0.086462,6.668583,0.174161,likely_debug_or_unoptimized,,2.0,False,False,23,0,False,0,0,0,0,0,False,False,190,5,0.020466,
pwhash_argon2id__clang_O0_debug.o,libsodium,Argon2,x86_64,O0,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,7.0,54.0,13952,0,53.0,17.0,0.586207,53.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.474986,0,,21,29,0,,298.0,3.166165,36.0,False,5.0,False,0,172.0,4.504542,0.161616,5.452159,0.273649,likely_debug_or_unoptimized,,21.0,False,False,22,0,False,0,0,0,0,0,False,False,138,29,0.067114,
